R00547	GLUTATHIONE-THIOESTERASE-RXN
R00548	RXN0-5187
R00549	RIBOFLAVINKIN-RXN
R00550	RIBOFLAVIN-PHOSPHOTRANSFERASE-RXN
R00551	ARGINASE-RXN
R00552	ARGININE-DEIMINASE-RXN
R00554	ARGININE-KINASE-RXN
R00555	2.4.2.31-RXN
R00557	NITRIC-OXIDE-SYNTHASE-RXN
R00558	RXN-13564
R00559	ARGININE-2-MONOOXYGENASE-RXN
R00562	1.5.1.11-RXN
R00563	1.5.1.19-RXN
R00565	GLYCINE-AMIDINOTRANSFERASE-RXN
R00566	ARGDECARBOX-RXN
R00567	ARGININE-RACEMASE-RXN
R00568	RXN-14118
R00569	RXN-12195
R00570	CDPKIN-RXN
R00571	RXN-14325
R00573	CTPSYN-RXN
R00574	CYTIDYLATE-CYCLASE-RXN
R00575	CARBPSYN-RXN
R00576	GLUTAMINE--PYRUVATE-AMINOTRANSFERASE-RXN
R00577	GLUTAMINE-N-ACYLTRANSFERASE-RXN
R00578	ASNSYNB-RXN
R00581	SERINE-DEHYDROGENASE-RXN
R00582	RXN0-5114
R00584	2.7.1.80-RXN
R00585	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN
R00586	SERINE-O-ACETTRAN-RXN
R00588	SERINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
R00589	5.1.1.18-RXN
R00590	RXN-15125
R00594	TRNA-URACIL-5--METHYLTRANSFERASE-RXN
R00595	RXN-11855
R00597	RXN-12458
R00599	TRNA-ADENINE-N6--METHYLTRANSFERASE-RXN
R00600	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
R00601	RXN0-5144
R00602	RXN-14189
R00603	DICHLOROMETHANE-DEHALOGENASE-RXN
R00604	FORMALDEHYDE-DEHYDROGENASE-RXN
R00605	METHANOL-DEHYDROGENASE-RXN
R00606	RXN-2841
R00608	METHANOL-OXIDASE-RXN
R00609	METHYLGUTAMATE-DEHYDROGENASE-RXN
R00610	SARCOX-RXN
R00611	SARCOSINE-DEHYDROGENASE-RXN
R00612	N6-METHYL-LYSINE-OXIDASE-RXN
R00614	RXN-11453
R00615	RXN0-3542
R00616	THIAMIN-DIPHOSPHATE-KINASE-RXN
R00617	THI-P-KIN-RXN
R00618	THIAMIN-TRIPHOSPHATASE-RXN
R00619	THIAMIN-PYROPHOSPHOKINASE-RXN
R00624	RXN-12448
R00626	ACID-PHOSPHATASE-RXN
R00626	ALKAPHOSPHA-RXN
R00627	ALCOHOL-O-ACETYLTRANSFERASE-RXN
R00628	ACETYLESTERASE-RXN
R00629	ALCOHOL-SULFOTRANSFERASE-RXN
R00630	CARBOXYLESTERASE-RXN
R00634	ALDEHYDE-DEHYDROGENASE-NADP+-RXN
R00635	ALDEHYDE-OXIDASE-RXN
R00636	PYRUVATE-DECARBOXYLASE-RXN
R00637	ALCOHOL-OXIDASE-RXN
R00639	ALKAN-1-OL-DEHYDROGENASE-ACCEPTOR-RXN
R00640	GALACTONOLACTONE-DEHYDROGENASE-RXN
R00643	1.3.3.12-RXN
R00647	RXN-8784
R00649	METHIONINE-S-METHYLTRANSFERASE-RXN
R00650	HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN
R00651	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
R00652	METHIONINE--GLYOXYLATE-TRANSAMINASE-RXN
R00653	FORMYLMETHIONINE-DEFORMYLASE-RXN
R00654	METHIONINE-GAMMA-LYASE-RXN
R00655	METHIONINE-RACEMASE-RXN
R00656	METHIONINE-DECARBOXYLASE-RXN
R00658	2PGADEHYDRAT-RXN
R00660	UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
R00661	PHOSPHOENOLPYRUVATE-MUTASE-RXN
R00662	RXN-14139
R00664	ORNITHINE-N-BENZOYLTRANSFERASE-RXN
R00665	CITRULLINASE-RXN
R00666	1.5.1.24-RXN
R00667	ORNITHINE-GLU-AMINOTRANSFERASE-RXN
R00669	ACETYLORNDEACET-RXN
R00670	ORNDECARBOX-RXN
R00671	ORNITHINE-CYCLODEAMINASE-RXN
R00672	ORNITHINE-RACEMASE-RXN
R00673	TRYPTOPHAN-RXN
R00674	RXN0-2382
R00676	TRYPTOPHAN-DEHYDROGENASE-RXN
R00678	RXN-8665
R00679	TRYPTOPHAN-2-MONOOXYGENASE-RXN
R00681	TRYPTOPHAN-2-DIOXYGENASE-RXN
R00682	TRYPTOPHANAMIDASE-RXN
R00684	TRYPTOPHAN-AMINOTRANSFERASE-RXN
R00685	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
R00686	5.1.1.11-RXN
R00688	PHENYLALANINE-DEHYDROGENASE-RXN
R00689	RXN-17130
R00690	PHENYLALANINE-2-MONOOXYGENASE-RXN
R00691	CARBOXYCYCLOHEXADIENYL-DEHYDRATASE-RXN
R00692	2.6.1.58-RXN
R00693	PHENYLALANINE-N-ACETYLTRANSFERASE-RXN
R00694	RXN-10814
R00695	2.6.1.70-RXN
R00697	PHENYLALANINE-AMMONIA-LYASE-RXN
R00699	PHENYLALANINE-DECARBOXYLASE-RXN
R00700	HYDROGEN-DEHYDROGENASE-RXN
R00702	RXN-12263
R00703	L-LACTATE-DEHYDROGENASE-RXN
