R03977	CHENODEOXYCHOLOYLTAURINE-HYDROLASE-RXN
R11546	RXN-17813
R05763	RXN0-2441
R11706	RXN-18595
R11523	RXN-14567
R12287	RXN-17176
R09470	RXN-16562
R12762	RXN-22109
R09971	RXN-8576
R02454	MANNONOXIDOREDUCT-RXN
R10757	RXN-9190
R11216	2.1.1.125-RXN
R02294	DEOXYGUANPHOSPHOR-RXN
R03722	RXN-20168
R04167	2-CARBOXY-D-ARABINITOL-1-PHOSPHATASE-RXN
R07710	RXN-10446
R01737	GLUCONOKIN-RXN
R12012	RXN-18996
R01319	2.3.1.62-RXN
R02449	1.14.13.58-RXN
R08174	RXN-13435
R03720	RXN-21376
R13026	RXN-22781
R00390	RXN-21450
R12034	RXN-19122
R04089	RXN-11219
R03333	3.1.4.36-RXN
R10463	RXN-14569
R05062	RXN1G01-41
R05075	MYRISTOYLACYLTRAN-RXN
R02053	RXN-23570
R09772	RXN-11363
R04570	5-PYRIDOXATE-DIOXYGENASE-RXN
R03001	2.6.1.41-RXN
R07636	RXN-11695
R07394	R83-RXN
R01403	RXN-16624
R01151	PUTRESCINE-OXIDASE-RXN
R00393	ACECOATRANS-RXN
R01492	RXN-19336
R06998	RXN-9611
R08168	RXN-18158
R02531	RXN-14102
R02545	TARTRATE-DEHYDROGENASE-RXN
R07758	RXN-20344
R03611	RXN-9829
R00984	ANTHRANILATE-N-METHYLTRANSFERASE-RXN
R03356	2.4.2.33-RXN
R09482	RXN-9730
R09400	RXN-8081
R10339	RXN-10009
R01779	RXN-5901
R00841	RXN-14965
R08619	RXNQT-4172
R02839	CORTISOL-SULFOTRANSFERASE-RXN
R06426	RXN-12768
R10116	RXN-21614
R01790	RXN-9024
R01383	RXN-11060
R01569	RXN-14161
R00460	RXN-20896
R12257	RXN-18575
R06062	2.4.1.188-RXN
R10902	RXN-15947
R00389	RXN-19194
R13125	RXN-23705
R05397	RXN-9880
R06134	OMEGA-AMIDASE-RXN
R11919	RXN-17122
R02446	RXN-7647
R09624	RXN-8561
R02136	XYLITOL-KINASE-RXN
R10994	RXN-20407
R12789	RXN-20268
R06061	MALTOSE-SYNTHASE-RXN
R07445	RXN-773
R00185	ADENOSINE-KINASE-RXN
R03824	RXN1F-148
R02741	HOMOGLUTATHIONE-SYNTHASE-RXN
R10910	RXN-13648
R03680	GIBBERELLIN-BETA-GLUCOSYLTRANSFERASE-RXN
R12999	RXN-22560
R03434	RXN-7250
R11340	RXN-17381
R13033	RXN-23820
R00411	SUCCGLUDESUCC-RXN
R02683	RXN-22264
R03224	RXN-21766
R07761	RXN-16156
R03489	RXN-18268
R09551	RXN-8782
R02738	RXN-15143
R11741	RXN-18346
